File BR50042, IAD, Is already downloaded: Skipping
File BR50101, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50102, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50103, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: 3: Not a PDF: Deleting
File BR50104, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50105, no, Link 1 Error: ('<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>',). Link 2 Error: No data found: Skipping
File BR50106, no, Link 1 Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>, Link 2 Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
File BR50100, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: <urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>
File BR50108, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50109, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: 3: Not a PDF: Deleting
File BR50107, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: <urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>
File BR50111, no, Link 1 Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>, Link 2 Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
File BR50112, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50113, YES, Downloaded without issue through link1
File BR50068, no, Link 1 Error: HTTP Error 503: Service Unavailable, Link 2 Error: The read operation timed out
File BR50115, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50116, no, Link 1 Error: 3: Not a PDF: Deleting, Link 2 Error: 3: Not a PDF: Deleting
File BR50117, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50118, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50114, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50119, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50120, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50122, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50123, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50124, YES, Downloaded without issue through link1
File BR50121, no, Link 1 Error: ('HTTP Error 503: Service Temporarily Unavailable',). Link 2 Error: No data found: Skipping
File BR50125, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50126, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50127, YES, Downloaded without issue through link1
File BR50128, no, Link 1 Error: 3: Not a PDF: Deleting, Link 2 Error: 3: Not a PDF: Deleting
File BR50130, no, Link 1 Error: ('1: No data found: Skipping',). Link 2 Error: No data found: Skipping
File BR50129, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: User agent not allowed
File BR50132, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50133, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50134, no, Link 1 Error: <urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>, Link 2 Error: <urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>
File BR50135, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 406: Not Acceptable
File BR50136, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50137, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50138, no, Link 1 Error: ('1: No data found: Skipping',). Link 2 Error: No data found: Skipping
File BR50139, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50140, no, Link 1 Error: <urlopen error [Errno 11001] getaddrinfo failed>, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50141, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 403: Forbidden
File BR50142, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50143, no, Link 1 Error: <urlopen error [Errno 11001] getaddrinfo failed>, Link 2 Error: HTTP Error 404: Not Found
File BR50110, YES, Downloaded without issue through link1
File BR50145, YES, Downloaded without issue through link1
File BR50146, YES, Downloaded without issue through link1
File BR50147, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 404: Not Found
File BR50148, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50149, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50150, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50151, no, Link 1 Error: HTTP Error 477: , Link 2 Error: HTTP Error 477: 
File BR50152, no, Link 1 Error: ("<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.aeci.co.za'. (_ssl.c:1032)>",). Link 2 Error: No data found: Skipping
File BR50153, YES, Downloaded without issue through link1
File BR50154, YES, Downloaded without issue through link1
File BR50155, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50156, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 404: Not Found
File BR50157, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
