File BR50041, no, Error: 1: No data found, skipping
File BR50044, no, Error: 1: No data found, skipping
File BR50043, no, Error: HTTP Error 404: Not Found
File BR50046, no, Error: 1: No data found, skipping
File BR50042, YES, Downloaded without issue
File BR50048, no, Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
File BR50049, no, Error: 1: No data found, skipping
File BR50047, YES, Downloaded without issue
File BR50050, no, Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
File BR50051, no, Error: 1: No data found, skipping
File BR50045, YES, Downloaded without issue
File BR50053, no, Error: 3: Not a PDF, deleting
File BR50052, YES, Downloaded without issue
File BR50056, no, Error: 1: No data found, skipping
File BR50057, YES, Downloaded without issue
File BR50058, YES, Downloaded without issue
File BR50055, YES, Downloaded without issue
File BR50059, YES, Downloaded without issue
File BR50060, YES, Downloaded without issue
File BR50054, YES, Downloaded without issue
